transaction_id,timestamp,category,description,amount,type
TXN1001,2026-03-01 08:14:22,Transport,Uber Ride,350.00,debit
TXN1002,2026-03-01 13:30:05,Food,McDonalds Lunch,280.00,debit
TXN1003,2026-03-02 10:00:00,Salary,Monthly Paycheck,45000.00,credit
TXN1004,2026-03-02 19:45:12,Entertainment,Netflix Subscription,649.00,debit
TXN1005,2026-03-03 09:15:43,Food,Local Tea & Snacks,60.00,debit
TXN1006,2026-03-04 11:20:18,Shopping,Amazon India Order,1499.00,debit
TXN1007,2026-03-05 16:40:55,Groceries,Supermarket Grocery Run,2350.00,debit
TXN1008,2026-03-06 21:10:02,Food,Zomato Dinner Delivery,540.00,debit
TXN1009,2026-03-07 08:45:30,Transport,Auto Rickshaw Fare,120.00,debit
TXN1010,2026-03-08 14:22:19,Utilities,Mobile Recharge,299.00,debit
TXN1011,2026-03-09 12:05:00,Food,Coffee Shop,180.00,debit
TXN1012,2026-03-09 18:30:45,Transport,Metro Smartcard Topup,500.00,debit
TXN1013,2026-03-10 15:15:33,Shopping,Myntra Clothing,2100.00,debit
TXN1014,2026-03-12 20:45:11,Food,Swiggy Lunch,320.00,debit
TXN1015,2026-03-13 11:00:22,Utilities,Electricity Bill,1850.00,debit
TXN1016,2026-03-14 09:12:40,Transport,Uber Ride,420.00,debit
TXN1017,2026-03-14 17:55:03,Entertainment,Spotify Premium,119.00,debit
TXN1018,2026-03-15 13:10:15,Food,Subway Sandwich,240.00,debit
TXN1019,2026-03-16 19:20:38,Groceries,Local Vegetable Vendor,350.00,debit
TXN1020,2026-03-17 22:00:12,Entertainment,Movie Tickets BookMyShow,760.00,debit
TXN1021,2026-03-18 10:30:50,Food,Bakery Items,150.00,debit
TXN1022,2026-03-19 14:15:22,Transport,Auto Rickshaw Fare,80.00,debit
TXN1023,2026-03-20 16:45:00,Transfer,Sent to Friend,1200.00,debit
TXN1024,2026-03-21 11:20:33,Shopping,Local Electronics Store,850.00,debit
TXN1025,2026-03-22 13:05:14,Food,Restaurant Lunch,1250.00,debit
TXN1026,2026-03-23 08:50:41,Transport,Uber Ride,290.00,debit
TXN1027,2026-03-24 17:10:19,Groceries,Blinkit Delivery,680.00,debit
TXN1028,2026-03-25 19:30:00,Transfer,Received from Friend,500.00,credit
TXN1029,2026-03-26 12:40:22,Food,College Canteen Lunch,110.00,debit
TXN1030,2026-03-27 15:55:47,Utilities,Wi-Fi Broadband Bill,799.00,debit
TXN1031,2026-03-28 09:00:15,Transport,Metro Smartcard Topup,200.00,debit
TXN1032,2026-03-29 21:15:33,Food,Zomato Biryani Order,480.00,debit
TXN1033,2026-03-30 14:30:21,Shopping,Amazon Books,450.00,debit
TXN1034,2026-04-01 09:15:00,Salary,Monthly Paycheck,45000.00,credit
TXN1035,2026-04-01 18:40:22,Entertainment,Netflix Subscription,649.00,debit
TXN1036,2026-04-02 08:20:11,Transport,Uber Ride,310.00,debit
TXN1037,2026-04-02 13:12:45,Food,McDonalds Lunch,295.00,debit
TXN1038,2026-04-03 16:22:04,Groceries,Zepto Delivery,420.00,debit
TXN1039,2026-04-04 11:05:50,Food,Local Tea & Snacks,45.00,debit
TXN1040,2026-04-05 19:50:18,Shopping,Ajio Apparel,1850.00,debit
TXN1041,2026-04-06 14:10:33,Food,Cafe Coffee Day,220.00,debit
TXN1042,2026-04-07 08:45:12,Transport,Auto Rickshaw Fare,95.00,debit
TXN1043,2026-04-08 17:30:25,Utilities,Mobile Recharge,299.00,debit
TXN1044,2026-04-09 20:15:44,Food,Swiggy Dinner,610.00,debit
TXN1045,2026-04-10 11:40:02,Groceries,Supermarket Grocery Run,3120.00,debit
TXN1046,2026-04-11 15:25:19,Shopping,Amazon India Order,999.00,debit
TXN1047,2026-04-12 09:05:36,Transport,Uber Ride,380.00,debit
TXN1048,2026-04-12 18:10:00,Entertainment,Spotify Premium,119.00,debit
TXN1049,2026-04-13 13:00:22,Food,Subway Sandwich,260.00,debit
TXN1050,2026-04-14 16:45:51,Transfer,Sent to Friend,250.00,debit
TXN1051,2026-04-15 21:30:12,Entertainment,Movie Tickets BookMyShow,680.00,debit
TXN1052,2026-04-16 10:15:40,Food,Bakery Items,180.00,debit
TXN1053,2026-04-17 14:50:27,Transport,Auto Rickshaw Fare,110.00,debit
TXN1054,2026-04-18 12:35:14,Food,Restaurant Lunch,1540.00,debit
TXN1055,2026-04-19 08:55:23,Transport,Metro Smartcard Topup,500.00,debit
TXN1056,2026-04-20 17:05:49,Groceries,Blinkit Delivery,590.00,debit
TXN1057,2026-04-21 19:22:01,Shopping,Flipkart Purchase,1250.00,debit
TXN1058,2026-04-22 11:12:35,Food,College Canteen Lunch,95.00,debit
TXN1059,2026-04-23 15:40:18,Utilities,Electricity Bill,2100.00,debit
TXN1060,2026-04-24 09:20:44,Transport,Uber Ride,340.00,debit
TXN1061,2026-04-25 20:50:11,Food,Zomato Pizza Order,720.00,debit
TXN1062,2026-04-26 14:00:00,Transfer,Received from Friend,1500.00,credit
TXN1063,2026-04-27 16:30:22,Shopping,Stationery Shop,320.00,debit
